,number,prime_factors,mean,deviation,one_over_slope,primes_before_largest,largest_prime_factor,div_family,color_bucket
34,298,"[ 2, 149 ]",75.5,73.5,4.054421768707482993197278912,[ 2 ],149,2.0,6
35,302,"[ 2, 151 ]",76.5,74.5,4.053691275167785234899328859,[ 2 ],151,2.0,6
36,314,"[ 2, 157 ]",79.5,77.5,4.051612903225806451612903226,[ 2 ],157,2.0,7
37,326,"[ 2, 163 ]",82.5,80.5,4.049689440993788819875776398,[ 2 ],163,2.0,7
38,334,"[ 2, 167 ]",84.5,82.5,4.048484848484848484848484848,[ 2 ],167,2.0,7
39,346,"[ 2, 173 ]",87.5,85.5,4.046783625730994152046783626,[ 2 ],173,2.0,7
40,358,"[ 2, 179 ]",90.5,88.5,4.045197740112994350282485876,[ 2 ],179,2.0,7
41,362,"[ 2, 181 ]",91.5,89.5,4.044692737430167597765363128,[ 2 ],181,2.0,7
42,382,"[ 2, 191 ]",96.5,94.5,4.042328042328042328042328042,[ 2 ],191,2.0,7
43,386,"[ 2, 193 ]",97.5,95.5,4.041884816753926701570680628,[ 2 ],193,2.0,7
44,394,"[ 2, 197 ]",99.5,97.5,4.041025641025641025641025641,[ 2 ],197,2.0,8
45,398,"[ 2, 199 ]",100.5,98.5,4.040609137055837563451776650,[ 2 ],199,2.0,8
46,422,"[ 2, 211 ]",106.5,104.5,4.038277511961722488038277512,[ 2 ],211,2.0,8
47,446,"[ 2, 223 ]",112.5,110.5,4.036199095022624434389140271,[ 2 ],223,2.0,8
48,454,"[ 2, 227 ]",114.5,112.5,4.035555555555555555555555556,[ 2 ],227,2.0,8
49,458,"[ 2, 229 ]",115.5,113.5,4.035242290748898678414096916,[ 2 ],229,2.0,8
50,466,"[ 2, 233 ]",117.5,115.5,4.034632034632034632034632035,[ 2 ],233,2.0,8
51,478,"[ 2, 239 ]",120.5,118.5,4.033755274261603375527426160,[ 2 ],239,2.0,8
52,482,"[ 2, 241 ]",121.5,119.5,4.033472803347280334728033473,[ 2 ],241,2.0,8
53,502,"[ 2, 251 ]",126.5,124.5,4.032128514056224899598393574,[ 2 ],251,2.0,8
54,514,"[ 2, 257 ]",129.5,127.5,4.031372549019607843137254902,[ 2 ],257,2.0,9
55,526,"[ 2, 263 ]",132.5,130.5,4.030651340996168582375478927,[ 2 ],263,2.0,9
56,538,"[ 2, 269 ]",135.5,133.5,4.029962546816479400749063670,[ 2 ],269,2.0,9
57,542,"[ 2, 271 ]",136.5,134.5,4.029739776951672862453531599,[ 2 ],271,2.0,9
58,554,"[ 2, 277 ]",139.5,137.5,4.029090909090909090909090909,[ 2 ],277,2.0,9
59,562,"[ 2, 281 ]",141.5,139.5,4.028673835125448028673835125,[ 2 ],281,2.0,9
60,566,"[ 2, 283 ]",142.5,140.5,4.028469750889679715302491103,[ 2 ],283,2.0,9
61,586,"[ 2, 293 ]",147.5,145.5,4.027491408934707903780068729,[ 2 ],293,2.0,9
62,614,"[ 2, 307 ]",154.5,152.5,4.026229508196721311475409836,[ 2 ],307,2.0,9
63,622,"[ 2, 311 ]",156.5,154.5,4.025889967637540453074433657,[ 2 ],311,2.0,9
64,626,"[ 2, 313 ]",157.5,155.5,4.025723472668810289389067524,[ 2 ],313,2.0,9
65,634,"[ 2, 317 ]",159.5,157.5,4.025396825396825396825396825,[ 2 ],317,2.0,9
66,662,"[ 2, 331 ]",166.5,164.5,4.024316109422492401215805471,[ 2 ],331,2.0,10
67,674,"[ 2, 337 ]",169.5,167.5,4.023880597014925373134328358,[ 2 ],337,2.0,10
68,694,"[ 2, 347 ]",174.5,172.5,4.023188405797101449275362319,[ 2 ],347,2.0,10
69,698,"[ 2, 349 ]",175.5,173.5,4.023054755043227665706051873,[ 2 ],349,2.0,10
70,706,"[ 2, 353 ]",177.5,175.5,4.022792022792022792022792023,[ 2 ],353,2.0,10
71,718,"[ 2, 359 ]",180.5,178.5,4.022408963585434173669467787,[ 2 ],359,2.0,10
72,734,"[ 2, 367 ]",184.5,182.5,4.021917808219178082191780822,[ 2 ],367,2.0,10
73,746,"[ 2, 373 ]",187.5,185.5,4.021563342318059299191374663,[ 2 ],373,2.0,10
74,758,"[ 2, 379 ]",190.5,188.5,4.021220159151193633952254642,[ 2 ],379,2.0,10
75,766,"[ 2, 383 ]",192.5,190.5,4.020997375328083989501312336,[ 2 ],383,2.0,10
76,778,"[ 2, 389 ]",195.5,193.5,4.020671834625322997416020672,[ 2 ],389,2.0,10
77,794,"[ 2, 397 ]",199.5,197.5,4.020253164556962025316455696,[ 2 ],397,2.0,11
78,802,"[ 2, 401 ]",201.5,199.5,4.020050125313283208020050125,[ 2 ],401,2.0,11
79,818,"[ 2, 409 ]",205.5,203.5,4.019656019656019656019656020,[ 2 ],409,2.0,11
80,838,"[ 2, 419 ]",210.5,208.5,4.019184652278177458033573141,[ 2 ],419,2.0,11
81,842,"[ 2, 421 ]",211.5,209.5,4.019093078758949880668257757,[ 2 ],421,2.0,11
82,862,"[ 2, 431 ]",216.5,214.5,4.018648018648018648018648019,[ 2 ],431,2.0,11
83,866,"[ 2, 433 ]",217.5,215.5,4.018561484918793503480278422,[ 2 ],433,2.0,11
84,878,"[ 2, 439 ]",220.5,218.5,4.018306636155606407322654462,[ 2 ],439,2.0,11
85,886,"[ 2, 443 ]",222.5,220.5,4.018140589569160997732426304,[ 2 ],443,2.0,11
86,898,"[ 2, 449 ]",225.5,223.5,4.017897091722595078299776286,[ 2 ],449,2.0,11
87,914,"[ 2, 457 ]",229.5,227.5,4.017582417582417582417582418,[ 2 ],457,2.0,11
88,922,"[ 2, 461 ]",231.5,229.5,4.017429193899782135076252723,[ 2 ],461,2.0,11
89,926,"[ 2, 463 ]",232.5,230.5,4.017353579175704989154013015,[ 2 ],463,2.0,11
90,934,"[ 2, 467 ]",234.5,232.5,4.017204301075268817204301075,[ 2 ],467,2.0,12
91,958,"[ 2, 479 ]",240.5,238.5,4.016771488469601677148846960,[ 2 ],479,2.0,12
92,974,"[ 2, 487 ]",244.5,242.5,4.016494845360824742268041237,[ 2 ],487,2.0,12
93,982,"[ 2, 491 ]",246.5,244.5,4.016359918200408997955010225,[ 2 ],491,2.0,12
94,998,"[ 2, 499 ]",250.5,248.5,4.016096579476861167002012072,[ 2 ],499,2.0,12
95,1006,"[ 2, 503 ]",252.5,250.5,4.015968063872255489021956088,[ 2 ],503,2.0,12
96,1018,"[ 2, 509 ]",255.5,253.5,4.015779092702169625246548323,[ 2 ],509,2.0,12
97,1042,"[ 2, 521 ]",261.5,259.5,4.015414258188824662813102119,[ 2 ],521,2.0,12
98,1046,"[ 2, 523 ]",262.5,260.5,4.015355086372360844529750480,[ 2 ],523,2.0,12
99,1082,"[ 2, 541 ]",271.5,269.5,4.014842300556586270871985158,[ 2 ],541,2.0,12
100,1094,"[ 2, 547 ]",274.5,272.5,4.014678899082568807339449541,[ 2 ],547,2.0,12
101,1114,"[ 2, 557 ]",279.5,277.5,4.014414414414414414414414414,[ 2 ],557,2.0,12
102,1126,"[ 2, 563 ]",282.5,280.5,4.014260249554367201426024955,[ 2 ],563,2.0,12
103,1138,"[ 2, 569 ]",285.5,283.5,4.014109347442680776014109347,[ 2 ],569,2.0,12
104,1142,"[ 2, 571 ]",286.5,284.5,4.014059753954305799648506151,[ 2 ],571,2.0,12
105,1154,"[ 2, 577 ]",289.5,287.5,4.013913043478260869565217391,[ 2 ],577,2.0,6
106,1174,"[ 2, 587 ]",294.5,292.5,4.013675213675213675213675214,[ 2 ],587,2.0,6
107,1186,"[ 2, 593 ]",297.5,295.5,4.013536379018612521150592217,[ 2 ],593,2.0,6
